3,3,3,4,5,6,6,7,8,8,8,9
0,9.0,9.0,16.29,22.851,22.851,28.16541,28.16541,28.16541,32.03961489,32.03961489,35.1777208509
22,27,30,36,38,40,45,48,50,52,57,59
